"IDPIF","SUPQUEMADA","MUERTOS","HERIDOS","COMUNIDAD","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","IDGRUPOCAUSA","DESC_CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2003370098","2849.0000","0","0","CASTILLA Y LEON","SALAMANCA","GUIJUELO","OTRA PROVINCIA","40.37167000","-5.59290300","2003-08-04","0","0","4","Vandalismo","32","4","1","0","3269788"
"2006152162","2842.0000","0","0","GALICIA","A CORUÑA","FISTERRA","MUXÍA","43.02456000","-9.12747300","2006-08-10","7840","8370","4","Sin datos","194","31","14","0","14299110"
"2003210130","2590.0000","0","2","ANDALUCIA","HUELVA","SIERRA DE HUELVA","ALMONASTER LA REAL","37.80367500","-6.89088500","2003-08-01","3975","6135","1","RAYO","430","32","28","538758","4598355"
"2005180248","2442.0000","0","2","ANDALUCIA","GRANADA","SIERRA NEVADA (GR)","LANJARÓN","36.94691900","-3.47213500","2005-09-22","2747","11447","2","HOGUERAS","722","19","38","1349489","1787327"
"2003370144","2401.9300","0","1","CASTILLA Y LEON","SALAMANCA","ROBLEDA","AGALLAS","40.45754100","-6.41557700","2003-08-13","885","4725","4","Sin datos","177","18","14","0","5212583"
"2006270737","2364.6700","0","6","GALICIA","LUGO","TERRA DE LEMOS","QUIROGA","42.49681700","-7.12115200","2006-08-31","3620","9190","4","Sin datos","719","61","33","21356","2455013"
"2009040065","2329.0700","0","0","ANDALUCIA","ALMERIA","LEVANTE ALMERIENSE","TURRE","37.11325800","-1.90258800","2009-07-23","2346","56074","5","CAUSA DESCONOCIDA","572","41","5","0","0"
"2009240694","2301.3000","0","0","CASTILLA Y LEON","LEON","VEGA DE ESPINAREDA","PERANZANES","42.87191400","-6.61322700","2009-09-10","7203","8059","4","Provocados por cazadores para facilitar la caza","234","11","20","0","0"
"2004210169","2259.2500","0","0","ANDALUCIA","HUELVA","EL ANDEVALO","CALAÑAS","37.60727100","-6.84370200","2004-08-28","1253","5333","4","Sin datos","234","30","29","0","0"
"2003100717","2150.0000","0","0","EXTREMADURA","CACERES","SIERRA DE GATA","ACEBO","40.21899800","-6.71858200","2003-08-14","0","0","5","CAUSA DESCONOCIDA","135","15","17","0","3721262"
"2001370073","2146.0000","0","1","CASTILLA Y LEON","SALAMANCA","VITIGUDINO","BARRUECOPARDO","41.06989200","-6.66190200","2001-07-31","0","0","4","Sin datos","258","16","4","0","172475"
"2006361593","2141.0200","0","0","GALICIA","PONTEVEDRA","CALDAS-O SALNES","BARRO","42.50710300","-8.67794500","2006-08-06","4155","6670","4","Provocados por pirómanos","45","28","3","70964","8582496"
"2008500161","2131.4900","0","0","ARAGON","ZARAGOZA","ZARAGOZA","ZUERA","41.91597400","-0.92149800","2008-08-05","4651","14776","3","MOTORES Y MÁQUINAS (ACCIDENTES DE VEHÍCULOS)","951","74","24","0","0"
"2007140043","2124.7000","0","0","ANDALUCIA","CORDOBA","VALLE DEL GUADIATO","OBEJO","38.05776900","-4.72733600","2007-07-27","4785","8220","2","OTRAS NEGLIGENCIAS (SIN ESPECIFICAR)","691","21","26","1426641","5478219"
"2006460017","2094.0000","0","0","C. VALENCIANA","VALENCIA","LA SAFOR","SIMAT LA VALLDIGNA","39.02626600","-0.29085700","2006-03-10","5429","8309","2","QUEMA DE BASURA","364","14","16","0","205512"
"2005100837","2085.4900","0","0","EXTREMADURA","CACERES","IBORES-VILLUERCAS","ROBLEDOLLANO","39.60866700","-5.46679100","2005-07-21","1862","9002","4","Sin datos","364","30","23","0","1892859"
"2010460123","2059.3500","0","0","C. VALENCIANA","VALENCIA","LA RIBERA ALTA","RAFELGUARAF","39.04573600","-0.43999400","2010-09-07","2496","5886","4","Sin datos","909","26","19","0","350044"
"2005450245","2058.4000","0","0","CASTILLA-MANCHA","TOLEDO","LA JARA","OTRA PROVINCIA","39.44765800","-5.02375600","2005-08-25","1775","6005","4","Provocados por venganzas","297","35","15","0","1162731"
"2002100468","2049.7000","0","0","EXTREMADURA","CACERES","SIERRA DE GATA","TORRECILLA  DE LOS ÁNGELES","40.25203500","-6.38976900","2002-08-17","3655","7315","5","CAUSA DESCONOCIDA","221","18","20","0","572957"
"2006152082","1999.9600","0","0","GALICIA","A CORUÑA","FISTERRA","CAMARIÑAS","43.15467200","-9.13529500","2006-08-08","5955","8490","4","Otras motivaciones","227","26","9","0","7345933"
"2005322927","1970.0000","0","0","GALICIA","OURENSE","VERIN-VIANA","VILARDEVÓS","42.36016500","-7.75727400","2005-08-17","0","0","4","Provocados por campesinos para eliminar matorral y residuos agrícolas","233","26","18","0","0"
"2010460119","1957.1700","0","0","C. VALENCIANA","VALENCIA","LA VALL D ALBAIDA","ONTINYENT","38.77143600","-0.67234200","2010-09-06","5612","10052","4","Sin datos","1124","51","45","0","68209"
"2002040043","1937.8600","0","1","ANDALUCIA","ALMERIA","PONIENTE ALMERIENSE","ENIX","36.89826000","-2.55872800","2002-06-26","2145","3960","1","RAYO","370","15","17","30916","29632"
"2005386027","1890.0000","0","0","CANARIAS","S.C. TENERIFE","LA PALMA","GARAFÍA","28.79812000","-17.89571800","2005-09-06","7060","11610","3","LÍNEAS ELÉCTRICAS","794","19","11","578194","0"
"2002180273","1879.9100","0","1","ANDALUCIA","GRANADA","SIERRAS LITORALES","JETE","36.81686900","-3.64606200","2002-11-09","3345","5865","2","QUEMA AGRÍCOLA (SIN ESPECIFICAR)","1102","69","23","0","1305938"
"2006361536","1818.0000","0","0","GALICIA","PONTEVEDRA","O CONDADO-A PARANDATA","ARBO","42.14795300","-8.30670500","2006-08-05","2465","2555","4","Provocados por pirómanos","86","7","7","46705","4075560"
"2006321160","1807.0000","0","0","GALICIA","OURENSE","O RIBEIRO-ARENTEIRO","AVIÓN","42.43684100","-8.31083600","2006-08-11","5280","6660","4","Sin datos","282","23","22","0","3902587"
"2003370096","1804.3700","0","0","CASTILLA Y LEON","SALAMANCA","LA ALBERCA","ESCURIAL DE LA SIERRA","40.61426300","-5.95628400","2003-08-03","470","3080","2","OTRAS NEGLIGENCIAS (SIN ESPECIFICAR)","273","15","5","0","94927"
"2006361628","1773.4400","0","0","GALICIA","PONTEVEDRA","CALDAS-O SALNES","CATOIRA","42.65484900","-8.68714000","2006-08-07","1790","1850","4","Provocados por pirómanos","77","10","2","25961","15001159"
"2009160215","1759.2800","0","0","CASTILLA-MANCHA","CUENCA","SERRANIA ALTA","LAS MAJADAS","40.22651100","-1.98727900","2009-07-21","5495","17430","1","RAYO","621","47","42","0","0"
"2009160212","1718.2000","0","0","CASTILLA-MANCHA","CUENCA","SERRANIA ALTA","POYATOS","40.40927800","-2.02496900","2009-07-21","3220","17515","4","Provocados por venganzas","406","25","42","0","0"
"2010320988","1715.0000","0","0","GALICIA","OURENSE","VERIN-VIANA","LAZA","42.17466700","-7.42050900","2010-08-29","5340","10320","4","Provocados por campesinos para eliminar matorral y residuos agrícolas","349","16","49","0","33486"
"2003460166","1707.0000","0","0","C. VALENCIANA","VALENCIA","LA FOIA DE BUNYOL","BUÑOL","39.47449500","-0.84284900","2003-08-28","2730","7065","4","Sin datos","60","8","11","0","44355"
"2006361702","1702.9400","0","0","GALICIA","PONTEVEDRA","CALDAS-O SALNES","PONTE CALDELAS","42.41996100","-8.54267000","2006-08-08","6750","7410","4","Provocados por pirómanos","53","5","9","3585","7525807"
"2005323296","1675.0000","0","0","GALICIA","OURENSE","VERIN-VIANA","LAZA","42.43745600","-8.26910200","2005-08-24","3310","4615","4","Sin datos","172","19","17","0","0"
"2006450196","1664.7000","0","0","CASTILLA-MANCHA","TOLEDO","INDETERMINADA","OTRA PROVINCIA","39.62810800","-5.23642100","2006-08-12","1672","2010","4","Provocados por venganzas","265","29","13","107837","741264"
"2001130110","1640.0000","0","0","CASTILLA-MANCHA","CIUDAD REAL","CAMPO DE CALATRAVA","ARGAMASILLA DE CALATRAVA","38.74332800","-4.02222300","2001-08-15","860","1160","2","OTRAS NEGLIGENCIAS (SIN ESPECIFICAR)","118","15","3","0","753668"
"2006361589","1601.5000","0","0","GALICIA","PONTEVEDRA","VIGO-BAIXO MIÑO","PAZOS DE BORBÉN","42.30664900","-8.55240800","2006-08-06","5825","5835","4","Otras motivaciones","170","10","9","95998","7595589"
"2006331107","1600.0000","0","0","ASTURIAS","ASTURIAS","EO-NAVIA","VALDÉS","43.47255200","-6.51999100","2006-05-21","1657","11863","3","LÍNEAS ELÉCTRICAS","154","18","4","0","2174367"
"2001170058","1596.0000","0","0","CATALUÑA","GIRONA","ALT EMPORDA","CADAQUÉS","42.29893900","3.25719100","2001-06-18","1975","3475","2","FUMADORES","145","50","7","0","0"
"2005362821","1573.0000","0","0","GALICIA","PONTEVEDRA","VIGO-BAIXO MIÑO","FORNELOS DE MONTES","42.33325700","-8.47277500","2005-08-19","1690","1720","5","CAUSA DESCONOCIDA","89","9","2","65240","3016913"
"2006361563","1558.0900","0","0","GALICIA","PONTEVEDRA","CALDAS-O SALNES","PONTEVEDRA","42.37337700","-8.59149400","2006-08-06","5785","6205","4","Provocados por campesinos para eliminar matorral y residuos agrícolas","135","4","4","44415","7595415"
"2005323023","1550.6000","0","0","GALICIA","OURENSE","VERIN-VIANA","CUALEDRO","42.35799300","-7.36536300","2005-08-19","3665","3965","4","Vandalismo","68","8","11","0","0"
"2005323029","1550.0000","0","0","GALICIA","OURENSE","VERIN-VIANA","VERÍN","42.35799300","-7.36536300","2005-08-19","1500","1560","4","Vandalismo","34","7","2","0","0"
"2006362027","1544.9000","0","0","GALICIA","PONTEVEDRA","CALDAS-O SALNES","CAMPO LAMEIRO","42.52896400","-8.47843800","2006-08-06","960","2100","6","INCENDIO REPRODUCIDO","31","6","1","10500","6494747"
"2003250105","1539.9900","1","3","CATALUÑA","LLEIDA","EL SEGRIA","SERÒS","41.41717000","0.42440800","2003-08-12","1010","2470","3","LÍNEAS ELÉCTRICAS","257","55","10","0","0"
"2006361752","1513.0000","0","0","GALICIA","PONTEVEDRA","VIGO-BAIXO MIÑO","BAIONA","42.07594700","-8.82169800","2006-08-09","2820","9540","4","Otras motivaciones","111","16","7","81696","3168979"
