"IDPIF","zIndex","SUPQUEMADA","RADIO_M","MUERTOS","HERIDOS","IDCOMUNIDAD","COMUNIDAD","IDPROVINCIA","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","RES_GRP_CAUSA","IDGRUPOCAUSA","DESC_CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2005490795","227","3006.1400","3093.35429793055","0","0","17","CASTILLA Y LEON","49","ZAMORA","EL PUENTE","PORTO","42.22054500","-6.77372900","2005-09-26","18850","21790","1","4","Provocados por pastores y ganaderos para regenerar el pasto","28","1","6","349","0"
"2003080273","228","2952.5800","3065.67350471073","0","0","2","CATALUÑA","8","BARCELONA","VALLS OCCIDENTAL","SANT LLORENÇ SAVALL","41.66929500","2.04499300","2003-08-10","8223","26053","1","4","Sin datos","749","76","24","0","0"
"2005362909","229","2896.0000","3036.15781933064","0","0","3","GALICIA","36","PONTEVEDRA","VIGO-BAIXO MIÑO","PAZOS DE BORBÉN","42.27861000","-8.53150500","2005-08-20","2015","2020","1","4","Otras motivaciones","241","13","11","58017","5871408"
"2001220054","230","2869.9000","3022.4452722239","0","0","10","ARAGON","22","HUESCA","HOYA DE HUESCA/PLANA DE UESCA","LAS PEÑAS DE RIGLOS","42.34291200","-0.57447200","2001-08-01","5825","12965","0","1","RAYO","384","24","15","16071","1447380"
"2003370098","231","2849.0000","3011.41970794112","0","0","17","CASTILLA Y LEON","37","SALAMANCA","GUIJUELO","OTRA PROVINCIA","40.37167000","-5.59290300","2003-08-04","0","0","1","4","Vandalismo","32","4","1","0","3269788"
"2006152162","232","2842.0000","3007.71789989409","0","0","3","GALICIA","15","A CORUÑA","FISTERRA","MUXÍA","43.02456000","-9.12747300","2006-08-10","7840","8370","1","4","Sin datos","194","31","14","0","14299110"
"2003210130","233","2590.0000","2871.27603203875","0","2","4","ANDALUCIA","21","HUELVA","SIERRA DE HUELVA","ALMONASTER LA REAL","37.80367500","-6.89088500","2003-08-01","3975","6135","0","1","RAYO","430","32","28","538758","4598355"
"2005180248","234","2442.0000","2788.03289446308","0","2","4","ANDALUCIA","18","GRANADA","SIERRA NEVADA (GR)","LANJARÓN","36.94691900","-3.47213500","2005-09-22","2747","11447","0","2","HOGUERAS","722","19","38","1349489","1787327"
"2003370144","235","2401.9300","2765.06431194906","0","1","17","CASTILLA Y LEON","37","SALAMANCA","ROBLEDA","AGALLAS","40.45754100","-6.41557700","2003-08-13","885","4725","1","4","Sin datos","177","18","14","0","5212583"
"2006270737","236","2364.6700","2743.53392281237","0","6","3","GALICIA","27","LUGO","TERRA DE LEMOS","QUIROGA","42.49681700","-7.12115200","2006-08-31","3620","9190","1","4","Sin datos","719","61","33","21356","2455013"
"2009040065","237","2329.0700","2722.8037142146","0","0","4","ANDALUCIA","4","ALMERIA","LEVANTE ALMERIENSE","TURRE","37.11325800","-1.90258800","2009-07-23","2346","56074","0","5","CAUSA DESCONOCIDA","572","41","5","0","0"
"2009240694","238","2301.3000","2706.52275267502","0","0","17","CASTILLA Y LEON","24","LEON","VEGA DE ESPINAREDA","PERANZANES","42.87191400","-6.61322700","2009-09-10","7203","8059","1","4","Provocados por cazadores para facilitar la caza","234","11","20","0","0"
"2004210169","239","2259.2500","2681.68158132305","0","0","4","ANDALUCIA","21","HUELVA","EL ANDEVALO","CALAÑAS","37.60727100","-6.84370200","2004-08-28","1253","5333","1","4","Sin datos","234","30","29","0","0"
"2003100717","240","2150.0000","2616.03947847725","0","0","14","EXTREMADURA","10","CACERES","SIERRA DE GATA","ACEBO","40.21899800","-6.71858200","2003-08-14","0","0","0","5","CAUSA DESCONOCIDA","135","15","17","0","3721262"
"2001370073","241","2146.0000","2613.60482045472","0","1","17","CASTILLA Y LEON","37","SALAMANCA","VITIGUDINO","BARRUECOPARDO","41.06989200","-6.66190200","2001-07-31","0","0","1","4","Sin datos","258","16","4","0","172475"
"2006361593","242","2141.0200","2610.57049802762","0","0","3","GALICIA","36","PONTEVEDRA","CALDAS-O SALNES","BARRO","42.50710300","-8.67794500","2006-08-06","4155","6670","1","4","Provocados por pirómanos","45","28","3","70964","8582496"
"2008500161","243","2131.4900","2604.75399856088","0","0","10","ARAGON","50","ZARAGOZA","ZARAGOZA","ZUERA","41.91597400","-0.92149800","2008-08-05","4651","14776","0","3","MOTORES Y MÁQUINAS (ACCIDENTES DE VEHÍCULOS)","951","74","24","0","0"
"2007140043","244","2124.7000","2600.60188259314","0","0","4","ANDALUCIA","14","CORDOBA","VALLE DEL GUADIATO","OBEJO","38.05776900","-4.72733600","2007-07-27","4785","8220","0","2","OTRAS NEGLIGENCIAS (SIN ESPECIFICAR)","691","21","26","1426641","5478219"
"2006460017","245","2094.0000","2581.74534311356","0","0","9","C. VALENCIANA","46","VALENCIA","LA SAFOR","SIMAT LA VALLDIGNA","39.02626600","-0.29085700","2006-03-10","5429","8309","0","2","QUEMA DE BASURA","364","14","16","0","205512"
"2005100837","246","2085.4900","2576.49390555738","0","0","14","EXTREMADURA","10","CACERES","IBORES-VILLUERCAS","ROBLEDOLLANO","39.60866700","-5.46679100","2005-07-21","1862","9002","1","4","Sin datos","364","30","23","0","1892859"
"2010460123","247","2059.3500","2560.29581125422","0","0","9","C. VALENCIANA","46","VALENCIA","LA RIBERA ALTA","RAFELGUARAF","39.04573600","-0.43999400","2010-09-07","2496","5886","1","4","Sin datos","909","26","19","0","350044"
